indentation_point,cavity_type,indentation_set,force_meas_N,force_base_N
-Z_center,M2S,center_edge,3.995,5.555
+X+Y_edge,M2S,center_edge,3.21,5.91
-X+Y_edge,M2S,center_edge,3.21,5.91
+X-Y_edge,M2S,center_edge,3.21,5.91
-X-Y_edge,M2S,center_edge,3.21,5.91
+X+Z_edge,M2S,center_edge,3.21,5.91
-X+Z_edge,M2S,center_edge,3.21,5.91
+X-Z_edge,M2S,center_edge,3.21,5.91
-X-Z_edge,M2S,center_edge,3.21,5.91
+Y+X_edge,M2S,center_edge,3.21,5.91
-Y+X_edge,M2S,center_edge,3.21,5.91
+Y-X_edge,M2S,center_edge,3.21,5.91
-Y-X_edge,M2S,center_edge,3.21,5.91
+Y+Z_edge,M2S,center_edge,3.21,5.91
-Y+Z_edge,M2S,center_edge,3.21,5.91
+Y-Z_edge,M2S,center_edge,3.21,5.91
-Y-Z_edge,M2S,center_edge,3.21,5.91
+Z+X_edge,M2S,center_edge,3.21,5.91
-Z+X_edge,M2S,center_edge,3.21,5.91
+Z-X_edge,M2S,center_edge,3.21,5.91
-Z-X_edge,M2S,center_edge,3.21,5.91
+Z+Y_edge,M2S,center_edge,3.21,5.91
-Z+Y_edge,M2S,center_edge,3.21,5.91
+Z-Y_edge,M2S,center_edge,3.21,5.91
-Z-Y_edge,M2S,center_edge,3.21,5.91
+X+Y_off,M2S,center_edge,,
-X+Y_off,M2S,center_edge,,
+X-Y_off,M2S,center_edge,,
-X-Y_off,M2S,center_edge,,
+X+Z_off,M2S,center_edge,,
-X+Z_off,M2S,center_edge,,
+X-Z_off,M2S,center_edge,,
-X-Z_off,M2S,center_edge,,
+Y+X_off,M2S,center_edge,,
-Y+X_off,M2S,center_edge,,
+Y-X_off,M2S,center_edge,,
-Y-X_off,M2S,center_edge,,
+Y+Z_off,M2S,center_edge,,
-Y+Z_off,M2S,center_edge,,
+Y-Z_off,M2S,center_edge,,
-Y-Z_off,M2S,center_edge,,
+Z+X_off,M2S,center_edge,,
-Z+X_off,M2S,center_edge,,
+Z-X_off,M2S,center_edge,,
-Z-X_off,M2S,center_edge,,
+Z+Y_off,M2S,center_edge,,
-Z+Y_off,M2S,center_edge,,
+Z-Y_off,M2S,center_edge,,
-Z-Y_off,M2S,center_edge,,
+X_center,M3,center_edge,8.415,5.555
-X_center,M3,center_edge,8.415,5.555
+Y_center,M3,center_edge,8.04,5.555
-Y_center,M3,center_edge,8.04,5.555
+Z_center,M3,center_edge,8.415,5.555
-Z_center,M3,center_edge,8.415,5.555
+X+Y_edge,M3,center_edge,8.145,5.91
-X+Y_edge,M3,center_edge,8.145,5.91
+X-Y_edge,M3,center_edge,9.145,5.91
-X-Y_edge,M3,center_edge,9.145,5.91
+X+Z_edge,M3,center_edge,8.545,5.91
-X+Z_edge,M3,center_edge,8.545,5.91
+X-Z_edge,M3,center_edge,8.545,5.91
-X-Z_edge,M3,center_edge,8.545,5.91
+Y+X_edge,M3,center_edge,8.4,5.91
-Y+X_edge,M3,center_edge,8.4,5.91
+Y-X_edge,M3,center_edge,8.4,5.91
-Y-X_edge,M3,center_edge,8.4,5.91
+Y+Z_edge,M3,center_edge,8.4,5.91
-Y+Z_edge,M3,center_edge,8.4,5.91
+Y-Z_edge,M3,center_edge,8.4,5.91
-Y-Z_edge,M3,center_edge,8.4,5.91
+Z+X_edge,M3,center_edge,8.545,5.91
-Z+X_edge,M3,center_edge,8.545,5.91
+Z-X_edge,M3,center_edge,8.545,5.91
-Z-X_edge,M3,center_edge,8.545,5.91
+Z+Y_edge,M3,center_edge,8.145,5.91
-Z+Y_edge,M3,center_edge,8.145,5.91
+Z-Y_edge,M3,center_edge,9.145,5.91
-Z-Y_edge,M3,center_edge,9.145,5.91
+X+Y_off,M3,center_edge,,
-X+Y_off,M3,center_edge,,
+X-Y_off,M3,center_edge,,
-X-Y_off,M3,center_edge,,
+X+Z_off,M3,center_edge,,
-X+Z_off,M3,center_edge,,
+X-Z_off,M3,center_edge,,
-X-Z_off,M3,center_edge,,
+Y+X_off,M3,center_edge,,
-Y+X_off,M3,center_edge,,
+Y-X_off,M3,center_edge,,
-Y-X_off,M3,center_edge,,
+Y+Z_off,M3,center_edge,,
-Y+Z_off,M3,center_edge,,
+Y-Z_off,M3,center_edge,,
-Y-Z_off,M3,center_edge,,
+Z+X_off,M3,center_edge,,
-Z+X_off,M3,center_edge,,
+Z-X_off,M3,center_edge,,
-Z-X_off,M3,center_edge,,
+Z+Y_off,M3,center_edge,,
-Z+Y_off,M3,center_edge,,
+Z-Y_off,M3,center_edge,,
-Z-Y_off,M3,center_edge,,
+X_center,M0,center_off,5.555,5.555
-X_center,M0,center_off,5.555,5.555
+Y_center,M0,center_off,5.555,5.555
-Y_center,M0,center_off,5.555,5.555
+Z_center,M0,center_off,5.555,5.555
-Z_center,M0,center_off,5.555,5.555
+X+Y_edge,M0,center_off,,
-X+Y_edge,M0,center_off,,
+X-Y_edge,M0,center_off,,
-X-Y_edge,M0,center_off,,
+X+Z_edge,M0,center_off,,
-X+Z_edge,M0,center_off,,
+X-Z_edge,M0,center_off,,
-X-Z_edge,M0,center_off,,
+Y+X_edge,M0,center_off,,
-Y+X_edge,M0,center_off,,
+Y-X_edge,M0,center_off,,
-Y-X_edge,M0,center_off,,
+Y+Z_edge,M0,center_off,,
-Y+Z_edge,M0,center_off,,
+Y-Z_edge,M0,center_off,,
-Y-Z_edge,M0,center_off,,
+Z+X_edge,M0,center_off,,
-Z+X_edge,M0,center_off,,
+Z-X_edge,M0,center_off,,
-Z-X_edge,M0,center_off,,
+Z+Y_edge,M0,center_off,,
-Z+Y_edge,M0,center_off,,
+Z-Y_edge,M0,center_off,,
-Z-Y_edge,M0,center_off,,
+X+Y_off,M0,center_off,6.125,6.125
-X+Y_off,M0,center_off,6.125,6.125
+X-Y_off,M0,center_off,6.125,6.125
-X-Y_off,M0,center_off,6.125,6.125
+X+Z_off,M0,center_off,6.125,6.125
-X+Z_off,M0,center_off,6.125,6.125
+X-Z_off,M0,center_off,6.125,6.125
-X-Z_off,M0,center_off,6.125,6.125
+Y+X_off,M0,center_off,6.125,6.125
-Y+X_off,M0,center_off,6.125,6.125
+Y-X_off,M0,center_off,6.125,6.125
-Y-X_off,M0,center_off,6.125,6.125
+Y+Z_off,M0,center_off,6.125,6.125
-Y+Z_off,M0,center_off,6.125,6.125
+Y-Z_off,M0,center_off,6.125,6.125
-Y-Z_off,M0,center_off,6.125,6.125
+Z+X_off,M0,center_off,6.125,6.125
-Z+X_off,M0,center_off,6.125,6.125
+Z-X_off,M0,center_off,6.125,6.125
-Z-X_off,M0,center_off,6.125,6.125
+Z+Y_off,M0,center_off,6.125,6.125
-Z+Y_off,M0,center_off,6.125,6.125
+Z-Y_off,M0,center_off,6.125,6.125
-Z-Y_off,M0,center_off,6.125,6.125
+X_center,M1,center_off,5.385,5.555
-X_center,M1,center_off,5.385,5.555
+Y_center,M1,center_off,5.385,5.555
-Y_center,M1,center_off,5.385,5.555
+Z_center,M1,center_off,5.385,5.555
-Z_center,M1,center_off,5.385,5.555
+X+Y_edge,M1,center_off,,
-X+Y_edge,M1,center_off,,
+X-Y_edge,M1,center_off,,
-X-Y_edge,M1,center_off,,
+X+Z_edge,M1,center_off,,
-X+Z_edge,M1,center_off,,
+X-Z_edge,M1,center_off,,
-X-Z_edge,M1,center_off,,
+Y+X_edge,M1,center_off,,
-Y+X_edge,M1,center_off,,
+Y-X_edge,M1,center_off,,
-Y-X_edge,M1,center_off,,
+Y+Z_edge,M1,center_off,,
-Y+Z_edge,M1,center_off,,
+Y-Z_edge,M1,center_off,,
-Y-Z_edge,M1,center_off,,
+Z+X_edge,M1,center_off,,
-Z+X_edge,M1,center_off,,
+Z-X_edge,M1,center_off,,
-Z-X_edge,M1,center_off,,
+Z+Y_edge,M1,center_off,,
-Z+Y_edge,M1,center_off,,
+Z-Y_edge,M1,center_off,,
-Z-Y_edge,M1,center_off,,
+X+Y_off,M1,center_off,5.99,6.125
-X+Y_off,M1,center_off,5.99,6.125
+X-Y_off,M1,center_off,5.99,6.125
-X-Y_off,M1,center_off,5.99,6.125
+X+Z_off,M1,center_off,5.99,6.125
-X+Z_off,M1,center_off,5.99,6.125
+X-Z_off,M1,center_off,5.99,6.125
-X-Z_off,M1,center_off,5.99,6.125
+Y+X_off,M1,center_off,5.99,6.125
-Y+X_off,M1,center_off,5.99,6.125
+Y-X_off,M1,center_off,5.99,6.125
-Y-X_off,M1,center_off,5.99,6.125
+Y+Z_off,M1,center_off,5.99,6.125
-Y+Z_off,M1,center_off,5.99,6.125
+Y-Z_off,M1,center_off,5.99,6.125
-Y-Z_off,M1,center_off,5.99,6.125
+Z+X_off,M1,center_off,5.99,6.125
-Z+X_off,M1,center_off,5.99,6.125
+Z-X_off,M1,center_off,5.99,6.125
-Z-X_off,M1,center_off,5.99,6.125
+Z+Y_off,M1,center_off,5.99,6.125
-Z+Y_off,M1,center_off,5.99,6.125
+Z-Y_off,M1,center_off,5.99,6.125
-Z-Y_off,M1,center_off,5.99,6.125
+X_center,M2R,center_off,6.155,5.555
-X_center,M2R,center_off,6.155,5.555
+Y_center,M2R,center_off,4.815,5.555
-Y_center,M2R,center_off,4.815,5.555
+Z_center,M2R,center_off,6.155,5.555
-Z_center,M2R,center_off,6.155,5.555
+X+Y_edge,M2R,center_off,,
-X+Y_edge,M2R,center_off,,
+X-Y_edge,M2R,center_off,,
-X-Y_edge,M2R,center_off,,
+X+Z_edge,M2R,center_off,,
-X+Z_edge,M2R,center_off,,
+X-Z_edge,M2R,center_off,,
-X-Z_edge,M2R,center_off,,
+Y+X_edge,M2R,center_off,,
-Y+X_edge,M2R,center_off,,
+Y-X_edge,M2R,center_off,,
-Y-X_edge,M2R,center_off,,
+Y+Z_edge,M2R,center_off,,
-Y+Z_edge,M2R,center_off,,
+Y-Z_edge,M2R,center_off,,
-Y-Z_edge,M2R,center_off,,
+Z+X_edge,M2R,center_off,,
-Z+X_edge,M2R,center_off,,
+Z-X_edge,M2R,center_off,,
-Z-X_edge,M2R,center_off,,
+Z+Y_edge,M2R,center_off,,
-Z+Y_edge,M2R,center_off,,
+Z-Y_edge,M2R,center_off,,
-Z-Y_edge,M2R,center_off,,
+X+Y_off,M2R,center_off,4.565,6.125
-X+Y_off,M2R,center_off,4.565,6.125
+X-Y_off,M2R,center_off,4.565,6.125
-X-Y_off,M2R,center_off,4.565,6.125
+X+Z_off,M2R,center_off,5.23,6.125
-X+Z_off,M2R,center_off,5.23,6.125
+X-Z_off,M2R,center_off,5.23,6.125
-X-Z_off,M2R,center_off,5.23,6.125
+Y+X_off,M2R,center_off,4.83,6.125
-Y+X_off,M2R,center_off,4.83,6.125
+Y-X_off,M2R,center_off,4.83,6.125
-Y-X_off,M2R,center_off,4.83,6.125
+Y+Z_off,M2R,center_off,4.83,6.125
-Y+Z_off,M2R,center_off,4.83,6.125
+Y-Z_off,M2R,center_off,4.83,6.125
-Y-Z_off,M2R,center_off,4.83,6.125
+Z+X_off,M2R,center_off,5.23,6.125
-Z+X_off,M2R,center_off,5.23,6.125
+Z-X_off,M2R,center_off,5.23,6.125
-Z-X_off,M2R,center_off,5.23,6.125
+Z+Y_off,M2R,center_off,4.565,6.125
-Z+Y_off,M2R,center_off,4.565,6.125
+Z-Y_off,M2R,center_off,4.565,6.125
-Z-Y_off,M2R,center_off,4.565,6.125
+X_center,M2S,center_off,2.395,5.555
-X_center,M2S,center_off,2.395,5.555
+Y_center,M2S,center_off,2.395,5.555
-Y_center,M2S,center_off,2.395,5.555
+Z_center,M2S,center_off,2.395,5.555
-Z_center,M2S,center_off,2.395,5.555
+X+Y_edge,M2S,center_off,,
-X+Y_edge,M2S,center_off,,
+X-Y_edge,M2S,center_off,,
-X-Y_edge,M2S,center_off,,
+X+Z_edge,M2S,center_off,,
-X+Z_edge,M2S,center_off,,
+X-Z_edge,M2S,center_off,,
-X-Z_edge,M2S,center_off,,
+Y+X_edge,M2S,center_off,,
-Y+X_edge,M2S,center_off,,
+Y-X_edge,M2S,center_off,,
-Y-X_edge,M2S,center_off,,
+Y+Z_edge,M2S,center_off,,
-Y+Z_edge,M2S,center_off,,
+Y-Z_edge,M2S,center_off,,
-Y-Z_edge,M2S,center_off,,
+Z+X_edge,M2S,center_off,,
-Z+X_edge,M2S,center_off,,
+Z-X_edge,M2S,center_off,,
-Z-X_edge,M2S,center_off,,
+Z+Y_edge,M2S,center_off,,
-Z+Y_edge,M2S,center_off,,
+Z-Y_edge,M2S,center_off,,
-Z-Y_edge,M2S,center_off,,
+X+Y_off,M2S,center_off,2.855,6.125
-X+Y_off,M2S,center_off,2.855,6.125
+X-Y_off,M2S,center_off,2.855,6.125
-X-Y_off,M2S,center_off,2.855,6.125
+X+Z_off,M2S,center_off,2.855,6.125
-X+Z_off,M2S,center_off,2.855,6.125
+X-Z_off,M2S,center_off,2.855,6.125
-X-Z_off,M2S,center_off,2.855,6.125
+Y+X_off,M2S,center_off,2.855,6.125
-Y+X_off,M2S,center_off,2.855,6.125
+Y-X_off,M2S,center_off,2.855,6.125
-Y-X_off,M2S,center_off,2.855,6.125
+Y+Z_off,M2S,center_off,2.855,6.125
-Y+Z_off,M2S,center_off,2.855,6.125
+Y-Z_off,M2S,center_off,2.855,6.125
-Y-Z_off,M2S,center_off,2.855,6.125
+Z+X_off,M2S,center_off,2.855,6.125
-Z+X_off,M2S,center_off,2.855,6.125
+Z-X_off,M2S,center_off,2.855,6.125
-Z-X_off,M2S,center_off,2.855,6.125
+Z+Y_off,M2S,center_off,2.855,6.125
-Z+Y_off,M2S,center_off,2.855,6.125
+Z-Y_off,M2S,center_off,2.855,6.125
-Z-Y_off,M2S,center_off,2.855,6.125
+X_center,M3,center_off,8.3,5.555
-X_center,M3,center_off,8.3,5.555
+Y_center,M3,center_off,6.555,5.555
-Y_center,M3,center_off,6.555,5.555
+Z_center,M3,center_off,8.3,5.555
-Z_center,M3,center_off,8.3,5.555
+X+Y_edge,M3,center_off,,
-X+Y_edge,M3,center_off,,
+X-Y_edge,M3,center_off,,
-X-Y_edge,M3,center_off,,
+X+Z_edge,M3,center_off,,
-X+Z_edge,M3,center_off,,
+X-Z_edge,M3,center_off,,
-X-Z_edge,M3,center_off,,
+Y+X_edge,M3,center_off,,
-Y+X_edge,M3,center_off,,
+Y-X_edge,M3,center_off,,
-Y-X_edge,M3,center_off,,
+Y+Z_edge,M3,center_off,,
-Y+Z_edge,M3,center_off,,
+Y-Z_edge,M3,center_off,,
-Y-Z_edge,M3,center_off,,
+Z+X_edge,M3,center_off,,
-Z+X_edge,M3,center_off,,
+Z-X_edge,M3,center_off,,
-Z-X_edge,M3,center_off,,
+Z+Y_edge,M3,center_off,,
-Z+Y_edge,M3,center_off,,
+Z-Y_edge,M3,center_off,,
-Z-Y_edge,M3,center_off,,
+X+Y_off,M3,center_off,8.495,6.125
-X+Y_off,M3,center_off,8.495,6.125
+X-Y_off,M3,center_off,10.1,6.125
-X-Y_off,M3,center_off,10.1,6.125
+X+Z_off,M3,center_off,8.415,6.125
-X+Z_off,M3,center_off,8.415,6.125
+X-Z_off,M3,center_off,8.415,6.125
-X-Z_off,M3,center_off,8.415,6.125
+Y+X_off,M3,center_off,4.675,6.125
-Y+X_off,M3,center_off,4.675,6.125
+Y-X_off,M3,center_off,4.675,6.125
-Y-X_off,M3,center_off,4.675,6.125
+Y+Z_off,M3,center_off,4.675,6.125
-Y+Z_off,M3,center_off,4.675,6.125
+Y-Z_off,M3,center_off,4.675,6.125
-Y-Z_off,M3,center_off,4.675,6.125
+Z+X_off,M3,center_off,8.415,6.125
-Z+X_off,M3,center_off,8.415,6.125
+Z-X_off,M3,center_off,8.415,6.125
-Z-X_off,M3,center_off,8.415,6.125
+Z+Y_off,M3,center_off,8.495,6.125
-Z+Y_off,M3,center_off,8.495,6.125
+Z-Y_off,M3,center_off,10.1,6.125
-Z-Y_off,M3,center_off,10.1,6.125
